Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.81,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY, FEED - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.51,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY, MALTING - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.26,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,34,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CANOLA,"CANOLA - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,20.7,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,31,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS, LARGE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,33.3,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS, SMALL - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,26.8,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.62,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,COTTON,"COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.639,
