farm_id,date,soil_ph,soil_temperature_c,sediment_level_mg_l,erosion_risk_index,fertilizer_availability_index
FARM_001,2025-10-15,6.04,18.13,20.56,0.49,0.64
FARM_001,2025-10-16,5.92,23.2,58.83,0.62,0.0
FARM_001,2025-10-17,6.09,28.08,57.38,0.47,0.35
FARM_001,2025-10-18,5.9,23.68,54.25,0.51,0.78
FARM_001,2025-10-19,5.64,24.9,66.29,0.07,0.29
FARM_001,2025-10-20,6.52,20.3,53.1,0.96,0.31
FARM_001,2025-10-21,6.85,22.8,18.0,0.05,0.57
FARM_001,2025-10-22,6.94,26.33,81.96,0.71,0.26
FARM_001,2025-10-23,5.8,22.71,86.12,0.06,0.56
FARM_001,2025-10-24,5.8,19.64,75.02,0.12,0.76
FARM_002,2025-10-15,6.29,18.06,64.42,0.94,0.44
FARM_002,2025-10-16,6.0,22.78,79.34,0.31,0.89
FARM_002,2025-10-17,7.34,23.74,16.73,0.4,0.99
FARM_002,2025-10-18,7.09,18.98,50.27,0.91,0.58
FARM_002,2025-10-19,5.64,27.36,25.85,0.15,0.02
FARM_002,2025-10-20,6.19,19.38,64.14,0.92,0.28
FARM_002,2025-10-21,7.18,19.88,85.54,0.24,0.58
FARM_002,2025-10-22,5.94,24.23,98.49,0.78,0.32
FARM_002,2025-10-23,6.59,25.56,87.46,0.87,0.4
FARM_002,2025-10-24,7.01,25.38,99.01,0.09,0.82
FARM_003,2025-10-15,6.81,24.3,41.54,0.34,0.21
FARM_003,2025-10-16,6.33,28.41,97.21,0.19,0.76
FARM_003,2025-10-17,7.21,23.34,77.89,0.35,0.47
FARM_003,2025-10-18,5.62,20.19,11.23,0.6,0.23
FARM_003,2025-10-19,5.67,19.85,86.88,0.94,0.01
FARM_003,2025-10-20,6.04,19.13,10.72,0.99,0.36
FARM_003,2025-10-21,6.17,23.29,36.86,0.12,0.77
FARM_003,2025-10-22,5.75,23.57,88.88,0.63,0.32
FARM_003,2025-10-23,6.15,25.32,20.86,0.67,0.13
FARM_003,2025-10-24,6.44,21.17,85.61,0.2,0.02
